feedback_id,exercise_platform_id,exercise_title,exercise_type,exercise_description,robot_map,possible_solutions,kc_names
01e264a0-89e8-40db-81c5-0cef9aca9696,,,,,,,
0609cec4-29e0-471a-aeab-2b329a14b001,,,,,,,
07b9864a-8dd7-4ac5-a086-172fd8847e4c,,,,,,,
08563d3b-9930-40a6-8032-5a1661f4c27d,,,,,,,
09a4995b-f1f7-4fdb-8b25-fb36884da48a,,,,,,,
0a4a41e6-417c-4db8-92d4-5d338b2748b9,,,,,,,
0af76959-42bc-4bc7-80e1-950fd1d2e9ac,,,,,,,
0eaf4f70-697e-406e-8895-b3df09b9cb4a,,,,,,,
0f066710-4b31-41b9-9458-f411ac1377d3,,,,,,,
0fd82eed-46d3-41d2-9b76-b802d854128a,,,,,,,
105a7378-d151-4a12-a1e4-fdf34ac87e03,,,,,,,
108b5926-d234-4396-aadb-89725092007c,,,,,,,
15b7645b-8583-407f-917c-9192f74279db,,,,,,,
1625c0f1-a59a-4b6e-9991-3fa220870b4c,,,,,,,
17a47845-ddd6-4177-9db7-f55d25604f2e,,,,,,,
18c4ad40-ee44-44df-9b8b-f5a2c9bad889,110,,,,,,
1ad6e797-653c-4346-9ad6-9dc20e4472c5,,,,,,,
204a8bcb-9f82-4fd0-8485-45e8ad64c49d,,,,,,,
213c6063-3667-48dd-a55c-74e6339cf819,,,,,,,
232f28b6-0c8e-4c0f-8e52-c423a2f5a770,,,,,,,
24e24e7e-7a0c-4a4a-b97a-69a8cbb61981,116,,,,,,
26f4c39d-7215-4aa4-a5f4-f7627690da70,112,,,,,,
2734321b-a5ed-4e69-997f-938e07671307,,,,,,,
2904e1ee-0cdf-40e3-951e-d28ad3abf429,116,,,,,,
2b946524-71f2-48a1-a2ea-e940c46a948c,,,,,,,
2c582315-2937-426f-b761-4b9d4528bcea,,,,,,,
2ca31333-1929-4744-be26-20a857b2a7b3,,,,,,,
30ea5484-9600-42f7-8d2d-782e88ce8266,109,,,,,,
31d08bd7-3245-4465-b1c0-3caa83d981d2,,,,,,,
3253d66a-18aa-4b8b-b684-00d82947ebe6,,,,,,,
33c1ad64-b9bf-43e5-881b-793bc4a1cf60,,,,,,,
359b10e6-6e92-4386-848c-72a682e7f20f,,,,,,,
394c9ecb-dfc2-4107-9c83-d6ab36c7253d,,,,,,,
3ef6cae6-63da-479f-8030-170d2c372774,,,,,,,
4060422b-9ccf-4a3e-91cb-bdf56e7a7a07,,,,,,,
413cd327-c26d-4e42-b07b-0652c33df90d,,,,,,,
45514c89-eb82-426b-a83b-f4a384c87da7,,,,,,,
473bf7b7-9fa6-4eff-9464-3e59c434ff4d,,,,,,,
4955f647-7c3e-4086-aaee-a132b1a99a71,110,,,,,,
4ad79d66-58e5-44eb-a864-77f0a910e82f,110,,,,,,
4c13094e-c1b3-40ab-87f0-65c64edf38db,,,,,,,
4c1dba85-1376-4fc8-82a0-f0f91d146855,,,,,,,
4ce36d73-9ceb-488a-b649-eb30d7ced90b,,,,,,,
4d5a65fa-f6c1-4771-8d03-9c8709719621,,,,,,,
522ca084-a724-4b13-9d7c-422d2fd35298,,,,,,,
52775f68-e8f7-400d-82c1-80a3ab88b8fa,,,,,,,
52e50ca4-0903-4c1e-940f-c8b904d04897,,,,,,,
54a21c3f-2f3d-406e-85a7-271a6c8ed67d,116,,,,,,
59f356a0-deeb-4f62-868d-637a506b8209,110,,,,,,
5a59928b-eddf-4690-8092-fe9ace7f8f8d,,,,,,,
5c3c94fa-db20-406a-a240-0bc2193916df,,,,,,,
5c849733-663e-43cf-bb86-99d6ad47094f,110,,,,,,
5d22355a-9d61-4b0a-9320-781be90bfb3d,116,,,,,,
5fbb9ed6-bb31-4e76-a1a5-5a8e103f69e0,,,,,,,
5ff6d270-0436-4951-ad03-9ac76a27eb1b,116,,,,,,
63b302a3-0126-4cf1-9593-e21aad9ffc19,,,,,,,
63c1c96f-6243-4c1d-983e-fc35e76b2750,,,,,,,
66e441bb-8c1a-43e1-84a7-6ff6f1791e49,,,,,,,
6bd11a1b-40a4-4bb5-bfff-f7bba4380056,,,,,,,
6c91c2c5-30cb-4d47-8e30-0f5e89360492,109,,,,,,
6e572c3a-1d61-46d5-a225-2cb085681558,,,,,,,
6f19f4d0-5099-4a16-83e0-fb04aa93318e,110,,,,,,
730ecf27-131c-4ff0-a906-4c2d3dc1e962,,,,,,,
73956ed1-4977-4b8f-80f8-fc4a0f1cbd09,,,,,,,
7a0327eb-1b6d-4940-84a0-bd80d6ed4150,,,,,,,
7ab15ae8-a1ab-4102-8f64-b2082689f420,112,,,,,,
7aecbb0e-ec07-4e1d-bc2c-5e61d31650e1,,,,,,,
7bf67ffd-6657-46b3-97ca-234c042d86c5,,,,,,,
7d97a8d7-159e-4c95-ac37-5a46f9653fb6,,,,,,,
83fd1852-7b7c-4c18-8c06-625b3bb447f9,116,,,,,,
84043729-49d8-44d4-912d-22714ca4df34,,,,,,,
895abd45-74c6-45ec-96a1-51eb2e928af5,,,,,,,
89cab7fb-ce7e-4b3d-a88e-dde8b3d550c6,,,,,,,
8dfe5aff-a8c5-4b02-ab16-bf9e4fed8179,,,,,,,
8ea36f5b-6606-43e6-b06e-fbad7e9dcbfb,112,,,,,,
941c2ce3-8e39-40e7-b2cd-df7432a06d35,,,,,,,
